index,sp600,sp100,r^2,beta
295,ADUS,WBA,0.9654695542,1.79774843
151,SLG,MA,0.9562344366,0.343169976
589,PAHC,UNP,0.9463620721,0.1900498179
573,ATNI,UNP,0.9362316549,0.3102242422
569,PBI,KO,0.9323093185,0.2768036522
414,HPP,IBM,0.9321553204,0.1911004544
317,NXGN,UNP,0.9321090901,-0.5184235364
258,CAKE,WBA,0.9305328445,0.5225884013
219,SJW,WBA,0.9298238295,0.8061798518
316,CPRX,WBA,0.9291539658,0.3186926614
530,OIS,XOM,0.9288225091,0.116970418
299,EYE,KO,0.9279496441,1.020493195
432,LPG,KO,0.9269024698,-1.346738351
89,CWT,KO,0.9248176875,1.366293421
195,MGPI,UPS,0.9237716996,0.6831367248
567,HA,WBA,0.9214119577,0.3072144115
442,HCSG,WBA,0.9201476651,0.257680677
202,SXI,WBA,0.9197919743,2.263937518
343,NBR,XOM,0.919334491,2.215899183
594,TSE,UNP,0.9186280413,0.2772318146
496,BJRI,WBA,0.9186065824,0.6810182942
455,APPS,LLY,0.917013533,-0.04020843675
574,SSP,WBA,0.9165872305,0.4525496234
112,IIPR,CRM,0.9130233252,0.6286700811
318,MSEX,COP,0.9121980234,-0.968814502
596,CPSI,WBA,0.9107790251,0.6742481547
381,RPT,MMM,0.910723692,0.2323508747
221,CBRL,WBA,0.9101680808,1.671266732
546,TR,UPS,0.9089502759,0.1878106068
580,FORR,UNP,0.9087832654,0.1667208359
150,CPE,COP,0.9071393392,0.5999279983
189,VSAT,FDX,0.9069079739,0.4866408085
516,CEVA,ACN,0.9047870509,0.1400368619
462,INVA,WBA,0.9035652895,0.1878252113
308,OFG,COF,0.9034531694,0.3230072561
214,SCL,UPS,0.9029374544,0.792017621
514,THRY,WBA,0.898434172,0.7182943094
243,CERT,UPS,0.8984213551,0.1530573031
590,VNDA,COP,0.8964549483,-0.1824056002
249,HLX,XOM,0.8960707525,0.1879754029
563,MCS,WBA,0.8951669934,0.2135594566
513,CHS,UNP,0.8945629827,0.04834007482
